backend,qubits,leaf_depth,seed,time_s
ibm_brisbane_old,81,80,147,0.782822
ibm_brisbane_old,81,80,168,0.763785
ibm_brisbane_old,81,80,189,1.114592
ibm_brisbane_old,81,90,3,0.813389
ibm_brisbane_old,81,90,21,0.920584
ibm_brisbane_old,81,90,42,1.232406
ibm_brisbane_old,81,90,63,1.247273
ibm_brisbane_old,81,90,84,0.855199
ibm_brisbane_old,81,90,105,1.291459
ibm_brisbane_old,81,90,126,1.250703
ibm_brisbane_old,81,90,147,0.910958
ibm_brisbane_old,81,90,168,0.863152
ibm_brisbane_old,81,90,189,1.208264
ibm_brisbane_old,121,10,3,0.569648
ibm_brisbane_old,121,10,21,0.65508
ibm_brisbane_old,121,10,42,0.523241
ibm_brisbane_old,121,10,63,0.539013
ibm_brisbane_old,121,10,84,0.552691
ibm_brisbane_old,121,10,105,0.567455
ibm_brisbane_old,121,10,126,0.525778
ibm_brisbane_old,121,10,147,0.5391
ibm_brisbane_old,121,10,168,0.558616
ibm_brisbane_old,121,10,189,0.556096
ibm_brisbane_old,121,20,3,0.753393
ibm_brisbane_old,121,20,21,0.633931
ibm_brisbane_old,121,20,42,0.600877
ibm_brisbane_old,121,20,63,0.622885
ibm_brisbane_old,121,20,84,0.618135
ibm_brisbane_old,121,20,105,0.731723
ibm_brisbane_old,121,20,126,0.628623
ibm_brisbane_old,121,20,147,0.656777
ibm_brisbane_old,121,20,168,0.64362
ibm_brisbane_old,121,20,189,0.645918
ibm_brisbane_old,121,30,3,0.723181
ibm_brisbane_old,121,30,21,0.895127
ibm_brisbane_old,121,30,42,0.884082
ibm_brisbane_old,121,30,63,0.714119
ibm_brisbane_old,121,30,84,0.730053
ibm_brisbane_old,121,30,105,0.76402
ibm_brisbane_old,121,30,126,0.725052
ibm_brisbane_old,121,30,147,0.73963
ibm_brisbane_old,121,30,168,0.913197
ibm_brisbane_old,121,30,189,0.888907
ibm_brisbane_old,121,40,3,1.066614
ibm_brisbane_old,121,40,21,0.824161
ibm_brisbane_old,121,40,42,0.796403
ibm_brisbane_old,121,40,63,0.808955
ibm_brisbane_old,121,40,84,0.785151
ibm_brisbane_old,121,40,105,1.06182
ibm_brisbane_old,121,40,126,1.073537
ibm_brisbane_old,121,40,147,1.001616
ibm_brisbane_old,121,40,168,0.802168
ibm_brisbane_old,121,40,189,0.792599
ibm_brisbane_old,121,50,3,1.295382
ibm_brisbane_old,121,50,21,0.947349
ibm_brisbane_old,121,50,42,1.248405
ibm_brisbane_old,121,50,63,1.2969
ibm_brisbane_old,121,50,84,0.970021
ibm_brisbane_old,121,50,105,1.221912
ibm_brisbane_old,121,50,126,0.984281
ibm_brisbane_old,121,50,147,1.259405
ibm_brisbane_old,121,50,168,1.002206
ibm_brisbane_old,121,50,189,1.20203
ibm_brisbane_old,121,60,3,1.114023
ibm_brisbane_old,121,60,21,1.426117
ibm_brisbane_old,121,60,42,1.434177
ibm_brisbane_old,121,60,63,1.078561
ibm_brisbane_old,121,60,84,1.042602
ibm_brisbane_old,121,60,105,1.390484
ibm_brisbane_old,121,60,126,1.392454
ibm_brisbane_old,121,60,147,1.078727
ibm_brisbane_old,121,60,168,1.426316
ibm_brisbane_old,121,60,189,1.453554
ibm_brisbane_old,121,70,3,1.616813
ibm_brisbane_old,121,70,21,1.5474
ibm_brisbane_old,121,70,42,1.544344
ibm_brisbane_old,121,70,63,1.669518
ibm_brisbane_old,121,70,84,1.593779
ibm_brisbane_old,121,70,105,1.258128
ibm_brisbane_old,121,70,126,1.241137
ibm_brisbane_old,121,70,147,1.154412
ibm_brisbane_old,121,70,168,1.250497
ibm_brisbane_old,121,70,189,1.602001
ibm_brisbane_old,121,80,3,1.698351
ibm_brisbane_old,121,80,21,1.252589
ibm_brisbane_old,121,80,42,1.283596
ibm_brisbane_old,121,80,63,1.681646
ibm_brisbane_old,121,80,84,1.226197
ibm_brisbane_old,121,80,105,1.273715
ibm_brisbane_old,121,80,126,1.754445
ibm_brisbane_old,121,80,147,1.287845
ibm_brisbane_old,121,80,168,1.331086
ibm_brisbane_old,121,80,189,1.705205
ibm_brisbane_old,121,90,3,1.881087
ibm_brisbane_old,121,90,21,1.918825
ibm_brisbane_old,121,90,42,1.445407
ibm_brisbane_old,121,90,63,1.386423
ibm_brisbane_old,121,90,84,1.878644
ibm_brisbane_old,121,90,105,1.407516
ibm_brisbane_old,121,90,126,1.53439
ibm_brisbane_old,121,90,147,1.897053
ibm_brisbane_old,121,90,168,1.422002
ibm_brisbane_old,121,90,189,1.853085
