"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"54","453.86767283103353","202.00382527402067","0.028564453125","0.0341796875","0.02294921875","2280","0.0004705137785582483","32","0.0004705137785582483","0","0.0004705137785582483","0.0004705137785582483","53:0.0011304476771357708;55:0.0032742892656452693","53:68;55:68","53:0.0012325893050010583;55:0.002487870329634434","0.028564453125","0.080810546875","Yes"
"55","316.7663498369608","113.59835207406154","0.014892578125","0.015625","0.01416015625","2280","0.00015231537550763308","32","0.00015231537550763308","0","0.00015231537550763308","0.00015231537550763308","59:0.0012026762048475137;54:0.0032742892656452693","59:68;54:68","59:0.0022394620728039827;54:0.002487870329634434","0.014892578125","0.010986328125","Yes"
"56","286.27458643397574","53.04377594700336","0.0068359375","0.01025390625","0.00341796875","2280","0.0002687544585434892","32","0.0002687544585434892","0","0.0002687544585434892","0.0002687544585434892","63:0.0047060905524135555;43:0.0037754602466620324","63:68;43:68","63:0.002570628785628498;43:0.00319950357934215","0.0068359375","0.00732421875","Yes"
"57","260.01929288325283","289.1492458890049","0.00830078125","0.00927734375","0.00732421875","2280","0.00020062704998532026","32","0.00020062704998532026","0","0.00020062704998532026","0.00020062704998532026","47:0.0015899405758134366;67:0.005737774401582824","47:68;67:68","47:0.0016646411202473343;67:0.003026928031454823","0.00830078125","0.011474609375","Yes"
"58","256.7973964823925","137.43351245786297","0.013427734375","0.0078125","0.01904296875","2280","0.00014807204684269768","32","0.00014807204684269768","0","0.00014807204684269768","0.00014807204684269768","71:0.0013133370004475564;51:0.002304818368684708","71:68;51:68","71:0.0008857093284467821;51:0.0018423959112232324","0.013427734375","0.015380859375","Yes"
"59","370.0136715855541","554.8089656035642","0.009765625","0.0126953125","0.0068359375","2280","0.00020457838477586638","32","0.00020457838477586638","0","0.00020457838477586638","0.00020457838477586638","55:0.0012026762048475137;75:0.0024871950351703365","55:68;75:68","55:0.0022394620728039827;75:0.0030125088900651853","0.009765625","0.005615234375","Yes"
"60","211.6628473678987","46.906801483172124","0.007568359375","0.009765625","0.00537109375","2280","0.00034266781212864396","32","0.00034266781212864396","0","0.00034266781212864396","0.00034266781212864396","61:0.002301847924812167","61:68","61:0.0023006890293916227","0.007568359375","0.003173828125","Yes"
"61","231.89831961319635","70.16030696234935","0.0068359375","0.00830078125","0.00537109375","2280","0.00018584450529563571","32","0.00018584450529563571","0","0.00018584450529563571","0.00018584450529563571","76:0.0025724162636711623;60:0.002301847924812167;62:0.00155378516712798","76:68;60:68;62:68","76:0.0019721432752924095;60:0.0023006890293916227;62:0.001347857382028722","0.0068359375","0.006103515625","Yes"
"62","344.0972795312507","149.68403234076254","0.019287109375","0.01220703125","0.0263671875","2280","0.00019571329333939675","32","0.00019571329333939675","0","0.00019571329333939675","0.00019571329333939675","61:0.00155378516712798;63:0.003905592516590145","61:68;63:68","61:0.001347857382028722;63:0.0015969253761667912","0.019287109375","0.02587890625","Yes"
"63","453.4844036349873","94.16692106210527","0.008544921875","0.00927734375","0.0078125","2280","0.0001463042059361473","32","0.0001463042059361473","0","0.0001463042059361473","0.0001463042059361473","56:0.0047060905524135555;62:0.003905592516590145;64:0.003445533758712066","56:68;62:68;64:68","56:0.002570628785628498;62:0.0015969253761667912;64:0.0017133938115681535","0.008544921875","0.0166015625","Yes"
"64","221.64280470998307","141.89630630830743","0.00390625","0.005859375","0.001953125","2280","0.0003565567467920534","32","0.0003565567467920534","0","0.0003565567467920534","0.0003565567467920534","65:0.0021354864510378657;63:0.003445533758712066","65:68;63:68","65:0.001511940890674579;63:0.0017133938115681535","0.00390625","0.008056640625","Yes"
"65","247.64117718119311","225.6362997304156","0.01123046875","0.01904296875","0.00341796875","2280","0.00033114542049132316","32","0.00033114542049132316","0","0.00033114542049132316","0.00033114542049132316","64:0.0021354864510378657;66:0.0018307979251335482;77:0.001301870072292377","64:68;66:68;77:68","64:0.001511940890674579;66:0.0019251035400263405;77:0.001388802996022176","0.01123046875","0.007568359375","Yes"
"66","250.21978079703325","272.84846601999857","0.0078125","0.01025390625","0.00537109375","2280","0.00024818876845695404","32","0.00024818876845695404","0","0.00024818876845695404","0.00024818876845695404","65:0.0018307979251335482;67:0.0019505422333329359","65:68;67:68","65:0.0019251035400263405;67:0.0012330961099442372","0.0078125","0.007568359375","Yes"
"67","274.9335161030889","302.002606969219","0.015625","0.0166015625","0.0146484375","2280","0.0001929309610601931","32","0.0001929309610601931","0","0.0001929309610601931","0.0001929309610601931","68:0.002079459535728717;57:0.005737774401582824;66:0.0019505422333329359","68:68;57:68;66:68","68:0.00516423376300551;57:0.003026928031454823;66:0.0012330961099442372","0.015625","0.00634765625","Yes"
"68","229.42215009618943","150.36691545687066","0.005859375","0.0078125","0.00390625","2280","0.00018612070788433027","32","0.00018612070788433027","0","0.00018612070788433027","0.00018612070788433027","67:0.002079459535728717;69:0.001403704024288882","67:68;69:68","67:0.00516423376300551;69:0.006905573619816419","0.005859375","0.002197265625","Yes"
"69","205.68817845889274","198.344898094494","0.013427734375","0.0087890625","0.01806640625","2280","0.00011648245506744925","32","0.00011648245506744925","0","0.00011648245506744925","0.00011648245506744925","78:0.003175270036285982;68:0.001403704024288882;70:0.0038353794420899756","78:68;68:68;70:68","78:0.00245748375885968;68:0.006905573619816419;70:0.0025626491751584435","0.013427734375","0.006103515625","Yes"
"70","238.397148745134","219.66096204558895","0.01318359375","0.01708984375","0.00927734375","2280","0.00016991683286960785","32","0.00016991683286960785","0","0.00016991683286960785","0.00016991683286960785","69:0.0038353794420899756;71:0.0019192581964869726","69:68;71:68","69:0.0025626491751584435;71:0.001652473070920285","0.01318359375","0.1015625","Yes"
"71","335.5279869460361","189.87781978384476","0.033203125","0.05517578125","0.01123046875","2280","0.0001093903148625508","32","0.0001093903148625508","0","0.0001093903148625508","0.0001093903148625508","72:0.0015342657307692298;58:0.0013133370004475564;70:0.0019192581964869726","72:68;58:68;70:68","72:0.0014992459379422063;58:0.0008857093284467821;70:0.001652473070920285","0.033203125","0.008056640625","Yes"
"72","276.7557007612665","137.26124723908183","0.03857421875","0.03076171875","0.04638671875","2280","0.00013412586063399432","32","0.00013412586063399432","0","0.00013412586063399432","0.00013412586063399432","73:0.0018719740521744022;71:0.0015342657307692298","73:68;71:68","73:0.001654699634399126;71:0.0014992459379422063","0.03857421875","0.27880859375","Yes"
"73","300.46258094317534","238.939533477569","0.04052734375","0.033203125","0.0478515625","2280","0.00023289919407149963","32","0.00023289919407149963","0","0.00023289919407149963","0.00023289919407149963","72:0.0018719740521744022;74:0.0012513878643716225;79:0.0016395376739387346","72:68;74:68;79:68","72:0.001654699634399126;74:0.0016259155584741058;79:0.001213337818024074","0.04052734375","0.051513671875","Yes"
"74","254.5084131036373","160.79042434498348","0.007080078125","0.009765625","0.00439453125","2280","0.0001699193493403136","32","0.0001699193493403136","0","0.0001699193493403136","0.0001699193493403136","73:0.0012513878643716225;75:0.0013221322764548071","73:68;75:68","73:0.0016259155584741058;75:0.0013488661448420869","0.007080078125","0.008056640625","Yes"
"75","319.4839958513294","123.31119163203351","0.01318359375","0.0146484375","0.01171875","2280","0.0001261073514211527","32","0.0001261073514211527","0","0.0001261073514211527","0.0001261073514211527","59:0.0024871950351703365;74:0.0013221322764548071","59:68;74:68","59:0.0030125088900651853;74:0.0013488661448420869","0.01318359375","0.0517578125","Yes"
"76","305.1592454744921","67.30321415288893","0.01025390625","0.0126953125","0.0078125","2280","0.00024382462301191795","32","0.00024382462301191795","0","0.00024382462301191795","0.00024382462301191795","81:0.0019014643808524523;61:0.0025724162636711623","81:68;61:68","81:0.0016327696655465962;61:0.0019721432752924095","0.01025390625","0.016845703125","Yes"
"77","365.4609479259748","301.656681461973","0.006591796875","0.00732421875","0.005859375","2280","0.0001624586675911875","32","0.0001624586675911875","0","0.0001624586675911875","0.0001624586675911875","85:0.0023449625521094197;65:0.001301870072292377","85:68;65:68","85:0.0023751423419666184;65:0.001388802996022176","0.006591796875","0.007080078125","Yes"
"78","291.3218767419309","35.80740862524205","0.016845703125","0.0185546875","0.01513671875","2280","0.00022477370059526369","32","0.00022477370059526369","0","0.00022477370059526369","0.00022477370059526369","69:0.003175270036285982;89:0.0020004389848644055","69:68;89:68","69:0.00245748375885968;89:0.001583602939029649","0.016845703125","0.016357421875","Yes"
